id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
24630758,Pvt Suite/No Shared Areas/12 min to dwntwn/,186137146,Ronda,,District 7,36.21036,-86.7185,Entire home/apt,67,2,115,2021-04-11,4.08,1,0
24645873,F4 & F5) 2 NEW HOMES 8 BR,132613025,Tyler,,District 2,36.23078,-86.77064,Entire home/apt,1106,2,15,2020-01-02,0.49,47,111
24647667,"Affordable extended stays, convenient location (3)",558742,Sara Jane,,District 12,36.16076,-86.59138,Private room,28,30,4,2020-07-01,0.13,4,325
24648152,"Walk to Five Points + 10 Minutes from Downtown! WiFi, AC, Parking, TV, Linens",126174,TrueAvenue,,District 6,36.17583,-86.74723,Entire home/apt,180,1,36,2021-04-05,1.62,33,356
24653220,Cozy Cottage in Prime Location,128714159,Laura,,District 24,36.14912,-86.85087,Entire home/apt,200,3,53,2021-03-21,1.50,1,21
24658545,Walk to Broadway! Downtown Honky Tonks!,129481465,Tee,,District 19,36.16889,-86.78216,Entire home/apt,114,1,126,2021-03-25,3.46,4,259
24667605,Stand Alone Cottage Home!! Welcome to Nashville,186429871,Zachary,,District 6,36.16749,-86.74669,Entire home/apt,148,1,111,2021-04-11,3.20,1,0
24676429,"HGTV Nashville Getaway, Broadway is Back!",106421559,Jordan,,District 16,36.10185,-86.72244,Entire home/apt,233,2,47,2021-04-18,2.35,2,163
24688509,Historic 1-Bedroom Condo on Nashville's Music Row,186594600,Kenneth,,District 19,36.15168,-86.79156,Entire home/apt,139,3,104,2021-04-07,2.92,1,292
24697042,Historic Home Rooms for Rent $720/m,14014147,Jan,,District 11,36.25982,-86.64532,Private room,24,30,1,2018-05-17,0.03,3,306
24697740,Music City White House - Lux Southern Charm,93347817,Amanda,,District 17,36.13416,-86.77957,Entire home/apt,533,2,67,2021-04-01,1.85,1,295
24714412,"Cozy, Country Apartment",132863118,Tad,,District 29,36.11336,-86.63627,Entire home/apt,55,30,3,2020-11-30,0.10,2,297
24715542,Nashville Home - Luxury Comfort with Fun for Kids,186810029,Kim,,District 7,36.21042,-86.72811,Entire home/apt,427,2,19,2021-02-28,0.56,1,280
24734366,"3 bdrm, 3 bath, East Nashville Retreat!",186984255,David,,District 7,36.19721,-86.7386,Entire home/apt,203,2,92,2021-04-04,2.58,1,127
24737740,Centrally located w/ 2 bedrooms 1 king bed 1 queen,31050052,Anneliese,,District 15,36.15781,-86.67646,Entire home/apt,102,1,322,2021-04-19,9.45,1,118
24738411,"Gorgeous Home, Rooftop Deck! 3 Bdrs 3.5 Baths",319913,Reservations,,District 5,36.19805,-86.74226,Entire home/apt,253,2,19,2021-01-18,0.57,19,278
