id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
41683652,Music City’s Luxury APT w/ Free Pool & Parking!,150248684,Jonathan,,District 19,36.1554,-86.7758,Entire home/apt,254,1,83,2021-06-06,4.98,2,69
41686558,"Walk to Broadway , downtown bars & restaurants",89553662,Angela,,District 19,36.15571,-86.7759,Entire home/apt,152,1,23,2021-06-19,1.31,1,92
41687118,"NEW!! Ultra Stylish Getaway w/pool, view in Dwntn!",329070094,Kevin & Kim,,District 19,36.14687,-86.78024,Entire home/apt,334,3,41,2021-05-30,2.54,1,113
41690971,New Build Home W/ Rooftop Deck 3 Miles to Downtown,329117577,Rob,,District 17,36.12055,-86.76868,Entire home/apt,299,2,45,2021-06-21,2.74,1,223
41721539,Nashville Wyndham near the Grand Old Opry,159211040,Ed,,District 15,36.21718,-86.70277,Entire home/apt,220,7,0,,,1,0
41743180,"Club Wyndham Nashville, Tennessee, 2 Bedroom Condo",194953121,Christian,,District 15,36.21953,-86.70429,Entire home/apt,180,5,3,2020-12-22,0.25,56,0
41743197,"Extravagant Club Wyndham Nashville, 1 Bedroom",194953121,Christian,,District 15,36.22117,-86.70608,Entire home/apt,144,2,1,2021-05-08,0.59,56,342
41743201,"Club Wyndham Nashville, Tennessee, 1 Bedroom Suite",194953121,Christian,,District 7,36.21941,-86.7074,Entire home/apt,144,2,1,2021-05-14,0.67,56,341
41743204,"Club Wyndham Nashville, Tennessee, 1 Bedroom Suite",194953121,Christian,,District 7,36.22109,-86.70821,Entire home/apt,144,2,0,,,56,338
41763823,"Bright, light European design guesthouse fast WIFI",1503417,Guillaume,,District 7,36.19634,-86.71586,Entire home/apt,69,1,69,2021-06-25,11.07,1,172
41764780,“Hotel Monica” - Monthly Rental Near Dwtn,85360355,StayLocal,,District 21,36.17664,-86.81626,Entire home/apt,99,31,3,2021-03-08,0.20,76,309
41770192,Historic West End Apartment Across from Vandy,49934681,Charity,,District 21,36.14946,-86.80517,Entire home/apt,280,1,29,2021-06-13,2.48,1,112
41775883,Modern Nashville Home 7 Beds and Pool Table,262961559,Sebastian,,District 21,36.16342,-86.82136,Entire home/apt,261,2,57,2021-06-06,3.45,2,283
41788794,Designer Condo Near Downtown,319913,Reservations,,District 2,36.18671,-86.8149,Entire home/apt,209,2,3,2021-04-25,0.31,22,313
41789971,Gold & Platinum Together Great for Groups Downtown,319913,Reservations,,District 2,36.18581,-86.81554,Entire home/apt,475,3,6,2021-06-07,0.55,22,313
41794224,Downtown & Cozy - DOWNTOWN APT,55585267,Daniel,,District 19,36.15448,-86.77601,Entire home/apt,149,1,109,2021-06-13,19.01,3,244
41802152,The rental house/2bd,330297565,Feruza,,District 15,36.16454,-86.69894,Entire home/apt,89,30,0,,,1,165
41802484,LUXURY DOUBLE TOWNHOMES ★ TWO HUGE SKY ROOFTOPS,101426897,Host Extraordinaires,,District 21,36.15952,-86.81775,Entire home/apt,831,2,0,,,142,288
41806911,Illume | Music City Hideaway | Pool & Gym,106505883,TurnKey Vacation Rentals,,District 19,36.14711,-86.78089,Entire home/apt,185,2,19,2021-06-20,1.22,116,330
41806915,New Listing! Modern Townhome w/ Rooftop Deck,106505883,TurnKey Vacation Rentals,,District 17,36.13694,-86.76593,Entire home/apt,157,3,2,2021-04-03,0.51,116,320
41806924,Illume | Gulch View Luxury | All-Suite Retreat,106505883,TurnKey Vacation Rentals,,District 19,36.14712,-86.78095,Entire home/apt,151,2,7,2021-01-03,0.43,116,268
41806993,"Illume | Nash-Cash Pad | Balcony, Near Downtown",106505883,TurnKey Vacation Rentals,,District 19,36.14777,-86.78193,Entire home/apt,112,2,7,2021-06-17,0.44,116,317
41807008,Illume | Designer Gulch View Condo | Pool Views,106505883,TurnKey Vacation Rentals,,District 19,36.14734,-86.78146,Entire home/apt,148,2,13,2021-06-07,1.50,116,267
41809403,"THE BRANCH NASHVILLE, 7 miles to DWTN!",84895710,Caity & Will,,District 8,36.22578,-86.72655,Entire home/apt,220,2,26,2021-06-13,1.70,2,223
41811153,Perfect cozy Gaylord Opryland Crash Pad remodeled,18765050,E,,District 15,36.23994,-86.69907,Private room,85,30,1,2020-02-13,0.06,2,365
41814116,Luxury Vacation Homes Broadway Downtown Music Row,101426897,Host Extraordinaires,,District 17,36.14604,-86.78625,Entire home/apt,1251,2,2,2021-05-16,1.40,142,260
41817272,Social Distancing Haven in Music Row District,179811696,Emmy,,District 17,36.14177,-86.79373,Entire home/apt,179,2,63,2021-06-20,3.91,6,113
41827620,SoHo VIBE★4 Suites★7Beds★Sleeps 12★NEW♫10min2DT,31549142,Brandon,,District 5,36.20307,-86.74181,Entire home/apt,253,2,36,2021-06-09,2.18,18,195
41858024,**~~Vibe Getaway In East Nashville~~**,22224024,Keith,,District 5,36.20307,-86.74197,Entire home/apt,303,3,3,2021-05-16,0.99,6,158
41861308,Huge Modern Luxury Suites A+ Location 30 day min,330257249,Kengela,,District 24,36.15098,-86.8264,Private room,60,30,2,2020-03-01,0.12,1,117
41876169,Radnor High - 9A - 3BD 2BA - 5 Miles to Downtown,259203888,Leslie,,District 16,36.10149,-86.74231,Entire home/apt,246,2,10,2021-05-30,0.77,18,361
41877808,DTown Condo|Steps to Broadway! Parking|POOL OPEN!,255636174,LJ Rose,,District 19,36.15456,-86.77443,Entire home/apt,151,1,96,2021-06-10,5.83,10,310
41878338,"♥ of Nashville, walk 2 Broadway w/ pool & gym!",285748255,Allie,,District 19,36.15489,-86.77541,Entire home/apt,560,2,97,2021-06-20,5.88,5,46
41879507,The Bunkhouse - Rooftop Patio <2mi. from Downtown,331164683,David,,District 5,36.19153,-86.77294,Entire home/apt,288,2,14,2021-06-20,1.11,1,125
41906407,South Gulch Urban Oasis: Amazing Rooftop City View,58254876,Jason,,District 19,36.14758,-86.78732,Entire home/apt,693,2,23,2021-05-31,1.38,1,199
41910242,* Pardi Luxury* *3 Bd/4Bth* 2 mi to DT Broadway*,45689480,Natalie,,District 2,36.18627,-86.80394,Entire home/apt,329,2,14,2021-06-06,1.15,1,78
41928473,BRAND NEW! Vibrant & Exquisite -1 Mile to Downtown,133757060,Zac,,District 21,36.15854,-86.80578,Entire home/apt,172,1,83,2021-06-17,5.08,6,100
41935193,Illume | Chic Condo with Pool | City Views,106505883,TurnKey Vacation Rentals,,District 19,36.14712,-86.78095,Entire home/apt,108,2,1,2020-07-17,0.09,116,332
41939670,￼New ⭐️ Downtown Luxury at Illume 🎵 Pool & Parking!,73602055,Donna,,District 19,36.14716,-86.78111,Entire home/apt,343,3,28,2021-06-14,1.69,3,286
41952018,"4BD|4 BA Walk to Groceries, Coffee, Food, Comedy Club + Free Parking",330393727,Sylvie & Philippe,,District 17,36.13026,-86.77889,Entire home/apt,321,2,16,2021-06-21,0.99,1,329
41953329,Cozy 1 bedroom unit Nashville,104292073,Tim,,District 16,36.10912,-86.72902,Entire home/apt,52,30,3,2021-02-06,0.29,2,300
41954404,Hollywood Hills - Gorgeous Home w/Amazing Views!,85360355,StayLocal,,District 5,36.19671,-86.77308,Entire home/apt,377,1,33,2021-05-25,2.04,76,268
41955556,Serenity Now...peaceful oasis 3 blocks to Broadway,69562152,Scot,,District 19,36.15531,-86.77479,Entire home/apt,166,1,83,2021-06-16,13.68,7,60
41964195,Spacious Townhome by Percy Warner Park,62094277,Jim,,District 23,36.0781,-86.88832,Entire home/apt,89,180,2,2021-04-30,0.14,1,208
41964313,European Style Suite in Hip East Nashville,113262277,Toktam,,District 6,36.18973,-86.73137,Entire home/apt,125,1,99,2021-06-21,5.87,1,60
41964324,*SLEEPS 30*  Getaway *3 Units * 9BR/9BA * Rooftops,12153920,Shac,,District 5,36.19542,-86.77187,Entire home/apt,1228,2,0,,,9,322
