id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
10985810,The Stewart House - Entire House,15586733,Neal,,District 18,36.12549,-86.79183,Entire home/apt,324,2,103,2021-08-08,1.93,18,202,8,
11007461,Southern Delight near Lipscomb Belmont Vanderbilt,57061644,Lisa,,District 25,36.10587,-86.80064,Entire home/apt,113,1,306,2021-03-20,4.57,1,0,3,
11008928,East Nashville apartment,124275854,Alexa,,District 6,36.17901,-86.74759,Entire home/apt,116,1,259,2021-08-09,9.11,3,138,25,
11014831,Charming Getaway in Crieve Hall,733538,John Mark,,District 26,36.06128,-86.76982,Private room,68,1,86,2020-07-19,2.99,2,0,0,
11024062,HUGE Ultra Luxe Home w/ 12 beds near Downtown,57207942,Jaison,,District 5,36.20143,-86.75973,Entire home/apt,542,2,107,2021-08-08,1.72,2,299,15,
11048972,East Nashville retro living!,17062728,James Austin,,District 7,36.20949,-86.72635,Entire home/apt,72,1,275,2021-08-15,6.25,1,142,48,
11074483,Enjoy Nature at a Secluded Cabin near Nashville #2018038413,4359004,Blake,,District 10,36.33566,-86.75645,Entire home/apt,178,1,257,2021-08-08,9.24,1,76,85,
11079846,12 South Original - Restored craftsman from 1905!,42211078,Stuart,,District 17,36.12374,-86.78864,Entire home/apt,85,1,425,2021-08-14,6.91,1,85,68,
11083902,Comfortable and convenient in Hillsboro Village,13389321,Debra,,District 18,36.1358,-86.80188,Entire home/apt,121,30,13,2021-06-06,0.23,1,296,1,
11101912,Cozy East Nashville Private Respite,2326212,Gowri,,District 6,36.19577,-86.70384,Private room,44,1,433,2021-08-17,7.40,1,0,71,
11108095,12-South Treehouse 2BR Apt near Downtown Nashville,5459728,Robin,,District 25,36.11552,-86.78114,Entire home/apt,149,3,138,2021-02-15,2.35,1,295,4,
11134493,Easy East Nashville Life,22066344,Katie,,District 6,36.1733,-86.74907,Entire home/apt,236,2,62,2021-08-01,0.95,5,128,14,
11154883,"Historic Southern Retreat, 6 mins 2 downtown/Bdway",10734404,Sherein,,District 5,36.18883,-86.76697,Entire home/apt,321,1,136,2021-08-15,2.13,3,58,1,
11159003,Lovely 3 bdrm condo near downtown/TSU,58032810,Denise,,District 21,36.16418,-86.82554,Entire home/apt,200,2,148,2021-08-01,3.54,2,0,14,
11159013,The Nashville Nifty-a Homey Guest Room with Ensuite,53233566,Patty,,District 7,36.20751,-86.70995,Entire home/apt,73,2,319,2021-08-13,5.52,1,228,41,
11167415,Rivergate Ranch,35721750,Dale And Patricia,,District 10,36.30335,-86.68301,Entire home/apt,95,2,305,2021-08-20,5.79,1,190,40,
11186757,"Riverfront, Downtown, Walk to Honky Tonks,",55410380,Kimberly,,District 19,36.1733,-86.78178,Entire home/apt,197,2,73,2021-08-08,3.18,1,142,2,
11187333,"Rustic Melrose Home, Close to Dwtn",10992701,Jennifer,,District 17,36.12938,-86.77702,Entire home/apt,100,4,1,2016-04-25,0.02,1,0,0,
11205949,4BR 3.5Bath & 3300 SQ FT 12th South Home,58350817,Chris,,District 17,36.11804,-86.7773,Entire home/apt,480,3,89,2021-07-05,1.51,1,0,12,
11243563,"Cozy Home, Parks, Grocery, West End",14761047,John,,District 24,36.12262,-86.84441,Entire home/apt,121,30,43,2021-04-11,0.67,5,325,3,
11304096,"Country and nature - majestic views, convenience",55618658,Gary & Christina,,District 3,36.34597,-86.75948,Entire home/apt,131,1,87,2021-08-08,1.47,1,332,12,
11305104,✦ DOWNTOWN VIEWS ✦ PRISTINE & STUNNING NASH PAD ✦,34702065,Kelly,,District 5,36.18274,-86.77083,Entire home/apt,383,2,261,2021-08-17,6.80,2,292,50,
11318225,Germantown Colonial Home with Patio and Gated Garden,53670844,Catherine,,District 19,36.18054,-86.7918,Entire home/apt,695,3,4,2017-08-22,0.07,2,30,0,
11320018,Huge family-friendly home near 12 S,15056566,Mary,,District 25,36.0951,-86.79061,Entire home/apt,300,2,13,2019-11-29,0.20,1,0,0,
11336505,The Peachtree House,15586733,Neal,,District 16,36.12135,-86.74802,Entire home/apt,203,2,152,2021-08-17,2.49,18,305,10,
11340340,Upstairs room overlooks LR non smoking only plz,812128,Patricia And John,,District 12,36.16278,-86.58796,Private room,35,31,8,2021-07-25,0.12,8,107,1,
11358238,Nashville’s Ultimate Getaway! Hot Tub! 3mi to DT,59497343,Jason,,District 5,36.18662,-86.76415,Entire home/apt,548,2,130,2021-08-08,3.16,1,225,22,
11360569,Large Apartment in the heart of Hip Donelson,53067349,Debbie & Carlos,,District 15,36.18245,-86.67308,Entire home/apt,100,2,134,2021-08-16,2.17,1,110,2,
11375711,"Minutes to Downtown, Huge Outdoor Deck & HOT TUB!",319913,Reservations,,District 6,36.18486,-86.74032,Entire home/apt,537,2,45,2021-08-02,0.94,31,256,9,
11387629,Private★Modern★Cozy★Walkable★Eastside loft~8 min Downtown!,1445093,Andrew & Rachel,,District 5,36.18471,-86.76904,Entire home/apt,97,1,516,2021-08-18,13.85,15,194,74,
11387993,Hillsboro Village Charmer,53732531,Abby,,District 18,36.12908,-86.80833,Entire home/apt,500,3,17,2020-07-17,0.28,1,233,0,
11438990,**FREE NIGHT STAY* HUGE NEW HOME** ROOF DECK**4,25162776,Frances,,District 5,36.19844,-86.76512,Entire home/apt,384,2,78,2021-08-02,2.74,10,279,19,
11442399,Log Home on 24 acres w/Skyline view,31159071,Cory,,District 3,36.25841,-86.8102,Entire home/apt,268,2,193,2021-08-17,3.58,2,251,38,
11443793,Pink House East Nashville,33785682,Tracy & Eric,,District 6,36.18795,-86.73591,Entire home/apt,122,30,161,2019-11-03,2.45,1,203,0,
11453055,Hayes Guest House #4,7894194,Heirbnb,,District 21,36.1496,-86.8045,Entire home/apt,96,1,517,2021-08-05,10.51,18,330,107,
11465403,The Executive House - NEW Downtown!,22933775,Lauren & Robert,,District 21,36.15116,-86.80261,Entire home/apt,791,2,31,2021-05-02,1.32,14,300,9,
11562188,Downtown Nashville Riverfront Condo,15892790,Mark,,District 19,36.17501,-86.78069,Entire home/apt,142,1,266,2021-08-13,4.36,1,129,54,
11567257,"1 Bedroom Apt, in Nashville - South",61107438,Cody,,District 27,36.04781,-86.74096,Entire home/apt,80,1,1,2016-03-16,0.02,1,0,0,
11593813,2of3-3 bd Lux homes each holds 10,23314330,Sara,,District 8,36.21544,-86.73054,Entire home/apt,592,2,130,2021-08-15,3.74,4,346,15,
11597189,Cozy/Private Award Winning home by Opryland & Opry,61357852,Jennifer,,District 15,36.20927,-86.68845,Entire home/apt,97,2,113,2021-07-26,2.01,1,229,15,
11610349,The Southern House - NEW! 1mi to DT,22933775,Lauren & Robert,,District 21,36.15118,-86.80257,Entire home/apt,606,2,58,2021-04-11,1.49,14,309,8,
11621515,Cozy 1BR/1B close to downtown Nashville!,30548787,Brett,,District 16,36.11955,-86.74259,Private room,74,1,391,2020-03-17,6.70,2,23,0,
11658572,1of3-3 bd lux homes each holds 10,23314330,Sara,,District 7,36.21487,-86.72982,Entire home/apt,650,2,136,2021-08-08,2.30,4,339,32,
11671060,The West End House - New Downtown!,22933775,Lauren & Robert,,District 21,36.15066,-86.80364,Entire home/apt,791,2,28,2021-08-02,0.44,14,299,4,
11671431,The City House - NEW DT in Midtown!,22933775,Lauren & Robert,,District 21,36.15067,-86.80362,Entire home/apt,791,2,19,2021-03-27,0.31,14,314,2,
11671760,3 Kings & 3 Queens! NEW DT Midtown!,22933775,Lauren & Robert,,District 21,36.14981,-86.80327,Entire home/apt,606,2,34,2021-06-07,0.96,14,291,3,
11671977,The Vanderbilt House - NEW Midtown!,22933775,Lauren & Robert,,District 21,36.15094,-86.80358,Entire home/apt,791,2,26,2021-03-24,0.44,14,297,5,
11671995,"Sunset View Cottage, Nashville TN.",47346271,Jason,,District 15,36.19887,-86.67699,Entire home/apt,179,2,108,2021-08-15,1.98,1,319,15,
11672549,"Modern home-historic East Nash hot tub, pool table",61975998,Steve,,District 6,36.17339,-86.75128,Entire home/apt,397,2,214,2021-08-08,3.32,2,196,43,
11672613,"Private room East Nashville - hot tub, pool table",61975998,Steve,,District 6,36.17338,-86.75144,Private room,79,1,60,2021-08-20,2.27,2,190,25,
11677778,Illume/Stylish Gulch Condo/Pool and Gulch Views,62021647,Susan,,District 19,36.14764,-86.78147,Entire home/apt,206,1,21,2021-08-14,1.51,2,316,19,
11680555,Gorgeous Home with Landscaped Patio # 2017-0422-88,12217601,Keny And Jordan,,District 13,36.12946,-86.63776,Entire home/apt,156,2,145,2021-08-13,2.47,1,193,32,
11680808,Brand New East Nashville Home,62049211,Chris,,District 5,36.19335,-86.75771,Entire home/apt,359,2,40,2019-09-02,0.67,1,0,0,
11699118,Chic 2 MBR townhouse in 12th S.!,40803056,Edie,,District 18,36.12396,-86.79123,Entire home/apt,214,2,177,2021-08-01,2.75,5,294,23,
